"id","text"
"dark-patterns-buster-320","Add to Compare"
"dark-patterns-buster-321","Add to Compare"
"dark-patterns-buster-322","Google Pixel 8 (Rose, 128 GB)"
"dark-patterns-buster-323","Google Pixel 8 (Rose, 128 GB)"
"dark-patterns-buster-324","8 GB RAM"
"dark-patterns-buster-325","8 GB RAM"
"dark-patterns-buster-326","4.3"
"dark-patterns-buster-327","4.3"
"dark-patterns-buster-328","(1,283)"
"dark-patterns-buster-329","(1,283)"
"dark-patterns-buster-330","₹75,999"
"dark-patterns-buster-331","₹75,999"
"dark-patterns-buster-332","Add to Compare"
"dark-patterns-buster-333","Add to Compare"
"dark-patterns-buster-334","Google Pixel 7 Pro (Snow, 128 GB)"
"dark-patterns-buster-335","Google Pixel 7 Pro (Snow, 128 GB)"
"dark-patterns-buster-336","12 GB RAM"
"dark-patterns-buster-337","12 GB RAM"
"dark-patterns-buster-338","4.3"
"dark-patterns-buster-339","4.3"
"dark-patterns-buster-340","(5,156)"
"dark-patterns-buster-341","(5,156)"
"dark-patterns-buster-342","₹66,999"
"dark-patterns-buster-343","₹66,999"
"dark-patterns-buster-344","₹"
"dark-patterns-buster-345","₹"
"dark-patterns-buster-346","84,999"
"dark-patterns-buster-347","84,999"
"dark-patterns-buster-348","21% off"
"dark-patterns-buster-349","21% off"
"dark-patterns-buster-350","Add to Compare"
"dark-patterns-buster-351","Add to Compare"
"dark-patterns-buster-352","Google Pixel 8 (Obsidian, 128 GB)"
"dark-patterns-buster-353","Google Pixel 8 (Obsidian, 128 GB)"
"dark-patterns-buster-354","8 GB RAM"
"dark-patterns-buster-355","8 GB RAM"
"dark-patterns-buster-356","4.3"
"dark-patterns-buster-357","4.3"
"dark-patterns-buster-358","(1,283)"
"dark-patterns-buster-359","(1,283)"
"dark-patterns-buster-360","₹75,999"
"dark-patterns-buster-361","₹75,999"
"dark-patterns-buster-362","Add to Compare"
"dark-patterns-buster-363","Add to Compare"
"dark-patterns-buster-364","Google Pixel 7 Pro (Obsidian, 128 GB)"
"dark-patterns-buster-365","Google Pixel 7 Pro (Obsidian, 128 GB)"
"dark-patterns-buster-366","12 GB RAM"
"dark-patterns-buster-367","12 GB RAM"
"dark-patterns-buster-368","4.3"
"dark-patterns-buster-369","4.3"
"dark-patterns-buster-370","(5,156)"
"dark-patterns-buster-371","(5,156)"
"dark-patterns-buster-372","₹66,999"
"dark-patterns-buster-373","₹66,999"
"dark-patterns-buster-374","₹"
"dark-patterns-buster-375","₹"
"dark-patterns-buster-376","84,999"
"dark-patterns-buster-377","84,999"
"dark-patterns-buster-378","21% off"
"dark-patterns-buster-379","21% off"
